page,capability,source_file,source_exists,source_time_type,source_grain,core_object,core_exists,supported_metrics,unsupported_metrics,mart_object,mart_exists,calculation_ready,official_whitelist,backend_endpoint,frontend_status,capability_status,gap_type,gap_reason,recommended_action
商品,商品退款/结算/投放列,成交分析-商品构成,true,-,-,core.douyin_product_daily(无这些列),true,-,settlement/transaction/ad_spend(商品事实无),-,false,false,false,无,NOT_DEPLOYED,NOT_DEPLOYED,UNSUPPORTED_METRIC,商品粒度源事实不含结算/投放/成交,页面只展示用户支付金额(已修正标签)
商品卡,商品卡渠道整体,成交分析-成交概览(scope=商品卡),true,DAILY_FACT,day×scope,core.douyin_deal_daily,true,transaction/user_pay/refund/settlement/ad_spend,-,get_business_period_summary(scope=商品卡),true,true,true,/business/summary?scope=商品卡,READY,READY,READY,-,无需动作
商品卡,商品卡来源构成(曝光/点击/来源分解),无独立源文件,false,-,-,无对应表,false,-,-,-,false,false,false,无,NOT_DEPLOYED,NOT_DEPLOYED,SOURCE_NOT_AVAILABLE,LOCAL_SOURCE_FILE_NOT_FOUND：本机扫描范围未发现商品卡来源构成/流量来源文件；平台能否导出待人工确认(NEED_MANUAL_CONFIRMATION),人工确认平台导出能力后走标准接入流程；不造数据
投放,基础投放经营,成交分析-成交概览(投放列),true,DAILY_FACT,day×shop,core.douyin_deal_daily,true,ad_spend(被投/绑定)/归因成交/占比/费比/综合费比/效率,-,get_advertising_period_summary,true,true,true,/advertising/summary,READY,READY,READY,-,无需动作
投放,计划/账户/单元/预算/状态,无独立源文件,false,-,-,无对应表,false,-,-,-,false,false,false,无,NOT_DEPLOYED,NOT_DEPLOYED,SOURCE_NOT_AVAILABLE,LOCAL_SOURCE_FILE_NOT_FOUND：本机无计划级源文件；平台计划级导出能力待人工确认(NEED_MANUAL_CONFIRMATION),保持 KNOWN LIMITATION；不从店铺总投放推算计划级
退款,退款金额/率/订单/店铺退款,成交分析-成交概览(退款列),true,DAILY_FACT,day×shop×scope,core.douyin_deal_daily,true,refund_amount_pay_time/refund_rate/refund_order,-,get_business_period_summary,true,true,true,/business/summary /business/trend(refund_rate),READY,READY,READY,-,无需动作
退款,退款原因/售后原因,无独立源文件,false,-,-,无对应表,false,-,-,-,false,false,false,无,NOT_DEPLOYED,NOT_DEPLOYED,SOURCE_NOT_AVAILABLE,LOCAL_SOURCE_FILE_NOT_FOUND：成交分析无退款原因列；平台退款原因明细导出能力待人工确认(NEED_MANUAL_CONFIRMATION),页面明确'当前数据源不支持退款原因分析'；AI不得猜原因
达人/账号,账号汇总/排名/贡献,成交分析-账号构成,true,DAILY_FACT,day×account×shop,core.douyin_account_daily,true,transaction/user_pay/refund_rate/settlement/ad_spend/rank/contribution,-,get_account_period_summary/rank_accounts/get_account_contribution,true,true,true,/accounts/summary /accounts/top /accounts/contribution,READY,READY,READY,-,已补齐(2026-08-10)
直播,直播渠道整体,成交分析-成交概览(scope=直播),true,DAILY_FACT,day×scope,core.douyin_deal_daily,true,transaction/user_pay/refund_rate/ad_spend,-,get_business_period_summary(scope=直播),true,true,true,/business/summary?scope=直播,READY,READY,READY,-,无需动作
直播,直播场次/直播商品/时段明细,单载体构成sheet(仅商品卡内容),true,DAILY_FACT,content(商品卡),core.douyin_content_daily(仅carrier=商品卡),true,-,直播场次/商品/时段(无事实),-,false,false,false,无,NOT_DEPLOYED,NOT_DEPLOYED,SOURCE_NOT_AVAILABLE,LOCAL_SOURCE_FILE_NOT_FOUND：单载体构成sheet仅含商品卡内容(53024行/599内容)；平台直播明细导出能力待人工确认(NEED_MANUAL_CONFIRMATION),禁止用频道汇总冒充明细
短视频,短视频渠道整体,成交分析-成交概览(scope=短视频),true,DAILY_FACT,day×scope,core.douyin_deal_daily,true,transaction/user_pay/refund_rate/ad_spend,-,get_business_period_summary(scope=短视频),true,true,true,/business/summary?scope=短视频,READY,READY,READY,-,无需动作
短视频,单视频/视频素材级,单载体构成sheet(仅商品卡内容),true,DAILY_FACT,content(商品卡),core.douyin_content_daily(仅carrier=商品卡),true,-,单视频/素材级(无事实),-,false,false,false,无,NOT_DEPLOYED,NOT_DEPLOYED,SOURCE_NOT_AVAILABLE,LOCAL_SOURCE_FILE_NOT_FOUND：单载体构成sheet无短视频内容；平台单视频/素材导出能力待人工确认(NEED_MANUAL_CONFIRMATION),禁止用频道汇总冒充明细
搜索,搜索成交/关键词,无独立源文件,false,-,-,无对应表,false,-,-,-,false,false,false,无,NOT_DEPLOYED,NOT_DEPLOYED,SOURCE_NOT_AVAILABLE,LOCAL_SOURCE_FILE_NOT_FOUND：本机扫描范围未发现搜索核心数据文件；平台'本店搜索核心数据'导出能力待人工确认(NEED_MANUAL_CONFIRMATION),人工确认平台导出能力后走标准接入流程
素材,素材列表/表现,无独立源文件,false,-,-,无对应表,false,-,-,-,false,false,false,无,NOT_DEPLOYED,NOT_DEPLOYED,SOURCE_NOT_AVAILABLE,LOCAL_SOURCE_FILE_NOT_FOUND：本机扫描范围未发现素材分析文件；平台素材分析导出能力待人工确认(NEED_MANUAL_CONFIRMATION),人工确认平台导出能力后走标准接入流程
智能经营,决策中心(风险/机会/Action摘要),V1.1 智能层,true,PERIOD_SNAPSHOT,period,mart.*_event/daily_action_item,true,risk/opportunity/action 摘要,-,get_daily_*_priorities/get_daily_action_list,true,true,true,/priorities/*,READY,STALE,REFRESH_GAP,智能结果停在6/24(REFRESH_GAP),同经营优先级
风险中心,风险完整列表(Anomaly),V1.1 anomaly_event,true,EVENT,event,mart.anomaly_event,true,anomaly_code/level/entity/evidence,-,get_anomalies/get_anomaly_summary/get_entity_anomalies,true,true,true,无(仅priority包装),PARTIAL,PARTIAL,WRAPPER_GAP,3个白名单函数存在但Backend未包装,补薄wrapper(参数/分页/JSON)，风险中心用完整Anomaly
问题诊断,诊断结果/拆解,V1.1 diagnostic_result,true,EVENT,event,mart.diagnostic_result,true,diagnostic_code/stage/confidence/证据,-,get_diagnostic_result/decompose_platform_change_by_shop,true,true,true,/diagnostics/results /diagnostics/decomposition,READY,READY,READY,-,无需动作
问题诊断,漏斗/广告诊断,V1.1 诊断链,true,EVENT,event,mart.diagnostic_result,true,funnel/advertising,-,get_funnel_diagnosis/get_advertising_diagnosis,true,true,true,funnel已包装;advertising未包装,PARTIAL,PARTIAL,WRAPPER_GAP,get_funnel_diagnosis/get_advertising_diagnosis 已在白名单但 Backend 未包装,补薄wrapper
问题诊断,实体指标(诊断支持指标清单),diagnostic_metric_rule(元数据),true,VERSION,structure,mart.diagnostic_metric_rule,true,各域支持诊断的指标清单,-,get_diagnostic_entity_metrics,true,true,false,无,NOT_DEPLOYED,PARTIAL,WHITELIST_GAP,get_diagnostic_entity_metrics 当前不在正式白名单(被 detect_anomalies 内部引用，本身只读元数据查询),评估是否纳入 F1.0 正式公共接口(诊断页指标清单场景)；纳入前不入白名单
增长机会,机会完整列表,V1.1 opportunity_event,true,EVENT,event,mart.opportunity_event,true,opportunity_code/score/evidence/peer,-,get_growth_opportunities/get_opportunity_summary/get_entity_opportunity,true,true,true,无(仅priority包装),PARTIAL,PARTIAL,WRAPPER_GAP,3个白名单函数存在但Backend未包装,补薄wrapper，机会中心用完整Opportunity
智能刷新,导入→异常→诊断→机会→优先级自动链,V1.1 写库函数,true,PERIOD_SNAPSHOT,period,mart.*_event,true,-,-,detect_anomalies/diagnose_*/detect_growth_opportunities/generate_daily_action_items,true,false,false,无(人工触发),STALE,STALE,REFRESH_GAP,5个写库函数存在但无调度；智能结果停在6/24(REFRESH_GAP),建立独立调度/Job层(导入成功后自动跑)，Web只读结果；运行日志进 audit.intelligence_run_log(新建)
